District,Tehsil,Village,Village Code,Google Drive Link,update time and date 
Ambala,Naraingarh,Bari kohri,101245,,
Ambala,Naraingarh,Jangu Majra,101246,,
Ambala,Naraingarh,Kherki Manakpur,101247,,
Ambala,Naraingarh,Ramgarh,101248,,
Ambala,Naraingarh,Mona Majra,101249,,
Ambala,Naraingarh,Panjori,101250,,
Ambala,Naraingarh,Azampur,101251,,
Ambala,Naraingarh,Chhajal Majra,101252,,
Ambala,Naraingarh,Sayan Majra,101253,,
Ambala,Naraingarh,Lonta,101254,,
Ambala,Naraingarh,Barsu Majra,101255,,
Ambala,Naraingarh,Brahman majra,101256,,
Ambala,Naraingarh,Hassanpur,101257,,
Ambala,Naraingarh,,101258,,
Ambala,Naraingarh,Bhukhri,101259,,
Ambala,Naraingarh,Jharshela,101260,,
Ambala,Naraingarh,Surgal,101261,,
Ambala,Naraingarh,Harbon,101262,,
Ambala,Naraingarh,Bakarpur,101263,,
Ambala,Naraingarh,Lalpur,101264,,
Ambala,Naraingarh,Kalyana,101265,,
Ambala,Naraingarh,Budha Khera,101266,,
Ambala,Naraingarh,Chand soli,101267,,
Ambala,Naraingarh,Mahua kheri,101268,,
Ambala,Naraingarh,Shahpur,101269,,
Ambala,Naraingarh,Nanduwali,101270,,
Ambala,Naraingarh,Shakarpura,101271,,
Ambala,Naraingarh,Tapria Ruldiki,101272,,
Ambala,Naraingarh,Ferozpur Kath,101273,,
Ambala,Naraingarh,Dehar,101274,,
Ambala,Naraingarh,Raju Majra,101275,,
Ambala,Naraingarh,Ganauli,101276,,
Ambala,Naraingarh,Okhal,101277,,
Ambala,Naraingarh,Mirjapur,101278,,
Ambala,Naraingarh,Andheri,101279,,
Ambala,Naraingarh,Khanpur labana,101280,,
Ambala,Naraingarh,Kherki Jattan,101281,,
Ambala,Naraingarh,Dera,101282,,
Ambala,Naraingarh,Sungrani,101283,,
Ambala,Naraingarh,Ahmadpur,101284,,
Ambala,Naraingarh,Kohdra Bhura,101285,,
Ambala,Saha,Saha,101286,,
Ambala,Saha,Bihata,101287,,
Ambala,Saha,Kesri,101288,,
Ambala,Saha,Sabga,101289,,
Ambala,Saha,Nagla,101290,,
Ambala,Saha,LANGAR,101291,,
Ambala,Saha,Tepla,101292,,
Ambala,Saha,Samalheri,101293,,
Ambala,Saha,Samabhalkha,101294,,
Ambala,Saha,Landa,101295,,
Ambala,Saha,Dakola,101296,,
Ambala,Saha,MALAKPUR,101297,,
Ambala,Saha,Toba,101298,,
Ambala,Saha,FATEHPUR,101299,,
Ambala,Saha,Shadipur,101300,,
Ambala,Saha,JAWHERGARH,101301,,
Ambala,Saha,Danarpur,101302,,
Ambala,Saha,Hasnpur,101303,,
Ambala,Saha,Dubli,101304,,
Ambala,Saha,HARYOLI,101305,,
Ambala,Saha,Panjail,101306,,
Ambala,Saha,RAIANMAJRA,101307,,
Ambala,Saha,Bajidpur,101308,,
Ambala,Saha,FASIALA,101309,,
Ambala,Saha,Haldri,101310,,
Ambala,Saha,Naraingarh majra,101311,,
Ambala,Saha,Chhapra,101312,,
Ambala,Saha,Ghasitpur,101313,,
Ambala,Saha,Harda,101314,,
Ambala,Saha,Allahpur,101315,,
Ambala,Saha,Chhani,101316,,
Ambala,Saha,Chudiali,101317,,
Ambala,Saha,Phalel majri,101318,,
Ambala,Saha,Akbar pur,101319,,
Ambala,Saha,Kharu khera,101320,,
Ambala,Saha,Khan pur,101321,,
Ambala,Saha,Chudiala,101322,,
Ambala,Saha,Dhurala,101323,,
Ambala,Saha,Laha,101324,,
Ambala,Saha,Sabapur,101325,,
Ambala,Mulana,Mullana,101326,,
Ambala,Mulana,Dhanaura,101327,,
Ambala,Mulana,Binjalpur,101328,,
Ambala,Mulana,Gokalgarh,101329,,
Ambala,Mulana,Nahauni,101330,,
Ambala,Mulana,Gola,101331,,
Ambala,Mulana,Duliyana,101332,,
Ambala,Mulana,Thakurpura,101333,,
Ambala,Mulana,Sardaheri,101334,,
Ambala,Mulana,Alipur,101335,,
Ambala,Mulana,Tangail,101336,,
Ambala,Mulana,Nurhad,101337,,
Ambala,Mulana,Kakar kunda,101338,,
Ambala,Mulana,Taprian,101339,,
Ambala,Mulana,Gaganheri,101340,,
Ambala,Mulana,Jaffarpur,101341,,
Ambala,Mulana,Aliyaspur,101342,,
Ambala,Mulana,Ramgarh,101343,,
Ambala,Mulana,Jharu majra,101344,,
Ambala,Mulana,Khera,101345,,
Ambala,Mulana,Kalpi,101346,,
Ambala,Mulana,Goli,101347,,
Ambala,Mulana,Tamnauli,101348,,
Ambala,Mulana,Sirsagarh,101349,,
Ambala,Mulana,Duliani,101350,,
Ambala,Mulana,Jamal majra,101351,,
Ambala,Mulana,Rolanheri,101352,,
Ambala,Mulana,Talheri Gujaran,101353,,
Ambala,Mulana,Uplana,101354,,
Ambala,Mulana,Paplotha,101355,,
Ambala,Mulana,Hema majra,101356,,
Ambala,Mulana,Hameedpur,101357,,
Ambala,Mulana,Sherpur,101358,,
Ambala,Mulana,Sulkhani,101359,,
Ambala,Mulana,Sehla,101360,,
Ambala,Mulana,Tharwa,101361,,
Ambala,Mulana,Jahangirpur,101362,,
Ambala,Mulana,Salehpur,101363,,
Ambala,Mulana,Kassanpur,101364,,
Ambala,Mulana,Dhanauri,101365,,
Ambala,Ambala Cantt.,Mandour,101366,,
Ambala,Ambala Cantt.,Garnala,101367,,
Ambala,Ambala Cantt.,Panjokhera,101368,,
